date,Armenia,Azerbaijan,Georgia,Kazakhstan,Kyrgyzstan,Tajikistan,Uzbekistan
02-26-2020,,,1.0,,,,
02-27-2020,,,1.0,,,,
02-28-2020,,,1.0,,,,
02-29-2020,,,1.0,,,,
03-01-2020,1.0,3.0,3.0,,,,
03-02-2020,1.0,3.0,3.0,,,,
03-03-2020,1.0,3.0,3.0,,,,
03-04-2020,1.0,3.0,3.0,,,,
03-05-2020,1.0,6.0,4.0,,,,
03-06-2020,1.0,6.0,4.0,,,,
03-07-2020,1.0,9.0,4.0,,,,
03-08-2020,1.0,9.0,13.0,,,,
03-09-2020,1.0,9.0,15.0,,,,
03-10-2020,1.0,11.0,15.0,,,,
03-11-2020,1.0,8.0,24.0,,,,
03-12-2020,4.0,8.0,24.0,,,,
03-13-2020,8.0,11.0,25.0,4.0,,,
03-14-2020,18.0,11.0,30.0,6.0,,,
03-15-2020,26.0,16.0,33.0,9.0,,,1.0
03-16-2020,52.0,8.0,32.0,10.0,,,6.0
03-17-2020,77.0,21.0,33.0,33.0,,,10.0
03-18-2020,83.0,21.0,37.0,35.0,3.0,,15.0
03-19-2020,114.0,37.0,39.0,44.0,3.0,,23.0
03-20-2020,135.0,37.0,42.0,46.0,6.0,,33.0
03-21-2020,159.0,41.0,48.0,53.0,14.0,,43.0
03-22-2020,192.0,53.0,53.0,59.0,14.0,,43.0
03-23-2020,233.0,61.0,53.0,62.0,16.0,,46.0
03-24-2020,235.0,76.0,61.0,72.0,42.0,,50.0
03-25-2020,249.0,81.0,65.0,81.0,44.0,,60.0
03-26-2020,271.0,104.0,68.0,108.0,44.0,,75.0
03-27-2020,300.0,147.0,69.0,146.0,58.0,,82.0
03-28-2020,376.0,163.0,76.0,211.0,58.0,,97.0
03-29-2020,391.0,190.0,73.0,263.0,84.0,,135.0
03-30-2020,449.0,243.0,83.0,280.0,91.0,,140.0
03-31-2020,499.0,267.0,89.0,317.0,104.0,,163.0
04-01-2020,536.0,328.0,94.0,351.0,108.0,,167.0
04-02-2020,623.0,369.0,108.0,405.0,111.0,,178.0
04-03-2020,686.0,406.0,127.0,429.0,123.0,,200.0
04-04-2020,720.0,484.0,125.0,490.0,134.0,,239.0
04-05-2020,758.0,545.0,136.0,536.0,137.0,,310.0
04-06-2020,763.0,590.0,147.0,610.0,179.0,,425.0
04-07-2020,758.0,665.0,147.0,640.0,191.0,,488.0
04-08-2020,758.0,751.0,158.0,666.0,233.0,,512.0
04-09-2020,773.0,816.0,164.0,713.0,241.0,,541.0
04-10-2020,776.0,822.0,177.0,738.0,258.0,,579.0
04-11-2020,781.0,847.0,179.0,774.0,290.0,,721.0
04-12-2020,803.0,837.0,187.0,842.0,318.0,,795.0
04-13-2020,814.0,847.0,201.0,941.0,347.0,,909.0
04-14-2020,786.0,833.0,228.0,1015.0,354.0,,1062.0
04-15-2020,797.0,836.0,232.0,1039.0,366.0,,1191.0
04-16-2020,783.0,808.0,269.0,1108.0,370.0,,1216.0
04-17-2020,780.0,797.0,288.0,1182.0,370.0,,1245.0
04-18-2020,705.0,765.0,298.0,1221.0,371.0,,1291.0
04-19-2020,726.0,667.0,297.0,1259.0,416.0,,1335.0
04-20-2020,737.0,626.0,303.0,1386.0,360.0,,1361.0
04-21-2020,768.0,595.0,307.0,1487.0,367.0,,1315.0
04-22-2020,816.0,591.0,304.0,1601.0,351.0,,1259.0
04-23-2020,840.0,580.0,309.0,1709.0,321.0,,1190.0
04-24-2020,841.0,558.0,307.0,1853.0,312.0,,1175.0
04-25-2020,846.0,516.0,312.0,1930.0,312.0,,1147.0
04-26-2020,885.0,485.0,331.0,2010.0,304.0,,1072.0
04-27-2020,931.0,494.0,335.0,2090.0,292.0,,1004.0
04-28-2020,971.0,474.0,337.0,2228.0,284.0,,939.0
04-29-2020,1002.0,476.0,333.0,2294.0,284.0,,897.0
04-30-2020,1105.0,455.0,349.0,2511.0,276.0,15.0,897.0
05-01-2020,1138.0,464.0,352.0,2650.0,244.0,15.0,865.0
05-02-2020,1230.0,458.0,367.0,2847.0,234.0,74.0,838.0
05-03-2020,1316.0,466.0,357.0,2809.0,221.0,126.0,820.0
05-04-2020,1397.0,478.0,361.0,2847.0,245.0,227.0,774.0
05-05-2020,1468.0,526.0,355.0,2897.0,232.0,288.0,696.0
05-06-2020,1607.0,563.0,332.0,2984.0,245.0,371.0,646.0
05-07-2020,1657.0,625.0,331.0,3030.0,246.0,449.0,632.0
05-08-2020,1768.0,675.0,325.0,3172.0,244.0,510.0,540.0
05-09-2020,1864.0,771.0,319.0,3168.0,261.0,592.0,493.0
05-10-2020,1943.0,837.0,316.0,3118.0,315.0,592.0,527.0
05-11-2020,1987.0,877.0,310.0,3101.0,316.0,640.0,488.0
05-12-2020,2061.0,980.0,282.0,3024.0,316.0,708.0,499.0
05-13-2020,2170.0,934.0,264.0,2977.0,306.0,778.0,525.0
05-14-2020,2239.0,1011.0,272.0,3008.0,335.0,878.0,498.0
05-15-2020,2326.0,1058.0,266.0,2948.0,352.0,1085.0,517.0
05-16-2020,2437.0,1158.0,252.0,2836.0,320.0,1286.0,514.0
05-17-2020,2487.0,1220.0,258.0,2867.0,320.0,1485.0,494.0
05-18-2020,2743.0,1292.0,257.0,3247.0,375.0,1688.0,464.0
05-19-2020,2813.0,1279.0,239.0,3118.0,331.0,1254.0,504.0
05-20-2020,2785.0,1335.0,226.0,3200.0,346.0,1629.0,554.0
05-21-2020,2955.0,1365.0,224.0,3356.0,376.0,1836.0,544.0
05-22-2020,2980.0,1410.0,216.0,3788.0,397.0,1418.0,523.0
05-23-2020,3289.0,1427.0,207.0,3670.0,394.0,1471.0,570.0
05-24-2020,3516.0,1466.0,196.0,4144.0,409.0,1582.0,586.0
05-25-2020,3881.0,1479.0,193.0,4419.0,425.0,1659.0,569.0
05-26-2020,4091.0,1532.0,183.0,4319.0,437.0,1802.0,640.0
05-27-2020,4421.0,1617.0,166.0,4499.0,461.0,1802.0,687.0
05-28-2020,4816.0,1681.0,153.0,4639.0,512.0,1842.0,736.0
