,Country_Region,Confirmed,Deaths,Recovered,Active,Date,days_since_100,Confirmed_change,Confirmed_change_pct,Confirmed_change_7day
0,Armenia,115.0,0.0,1.0,114.0,2020-03-19,0,31.0,0.36904761904761907,
1,Armenia,136.0,0.0,1.0,135.0,2020-03-20,1,21.0,0.18260869565217397,
2,Armenia,160.0,0.0,1.0,159.0,2020-03-21,2,24.0,0.17647058823529416,
3,Armenia,194.0,0.0,2.0,192.0,2020-03-22,3,34.0,0.2124999999999999,
4,Armenia,235.0,0.0,2.0,233.0,2020-03-23,4,41.0,0.21134020618556693,
5,Armenia,249.0,0.0,14.0,235.0,2020-03-24,5,14.0,0.05957446808510647,
6,Armenia,265.0,0.0,16.0,249.0,2020-03-25,6,16.0,0.06425702811244971,25.857142857142858
7,Armenia,290.0,1.0,18.0,271.0,2020-03-26,7,25.0,0.09433962264150941,25.0
8,Azerbaijan,122.0,3.0,15.0,104.0,2020-03-26,0,29.0,0.31182795698924726,
9,Kazakhstan,111.0,1.0,2.0,108.0,2020-03-26,0,30.0,0.37037037037037046,
10,Armenia,329.0,1.0,28.0,300.0,2020-03-27,8,39.0,0.1344827586206896,27.571428571428573
11,Azerbaijan,165.0,3.0,15.0,147.0,2020-03-27,1,43.0,0.3524590163934427,
12,Kazakhstan,150.0,1.0,3.0,146.0,2020-03-27,1,39.0,0.3513513513513513,
13,Armenia,407.0,1.0,30.0,376.0,2020-03-28,9,78.0,0.237082066869301,35.285714285714285
14,Azerbaijan,182.0,4.0,15.0,163.0,2020-03-28,2,17.0,0.10303030303030303,
15,Kazakhstan,228.0,1.0,16.0,211.0,2020-03-28,2,78.0,0.52,
16,Uzbekistan,104.0,2.0,5.0,97.0,2020-03-28,0,16.0,0.18181818181818188,
17,Armenia,424.0,3.0,30.0,391.0,2020-03-29,10,17.0,0.041769041769041726,32.857142857142854
18,Azerbaijan,209.0,4.0,15.0,190.0,2020-03-29,3,27.0,0.14835164835164827,
19,Kazakhstan,284.0,1.0,20.0,263.0,2020-03-29,3,56.0,0.2456140350877194,
20,Uzbekistan,144.0,2.0,7.0,135.0,2020-03-29,1,40.0,0.3846153846153846,
21,Armenia,482.0,3.0,30.0,449.0,2020-03-30,11,58.0,0.1367924528301887,35.285714285714285
22,Azerbaijan,273.0,4.0,26.0,243.0,2020-03-30,4,64.0,0.30622009569377995,
23,Georgia,103.0,0.0,20.0,83.0,2020-03-30,0,12.0,0.13186813186813184,
24,Kazakhstan,302.0,1.0,21.0,280.0,2020-03-30,4,18.0,0.06338028169014076,
25,Uzbekistan,149.0,2.0,7.0,140.0,2020-03-30,2,5.0,0.03472222222222232,
26,Armenia,532.0,3.0,30.0,499.0,2020-03-31,12,50.0,0.10373443983402497,40.42857142857143
27,Azerbaijan,298.0,5.0,26.0,267.0,2020-03-31,5,25.0,0.09157509157509147,
28,Georgia,110.0,0.0,21.0,89.0,2020-03-31,1,7.0,0.06796116504854366,
29,Kazakhstan,343.0,2.0,24.0,317.0,2020-03-31,5,41.0,0.13576158940397343,
30,Kyrgyzstan,107.0,0.0,3.0,104.0,2020-03-31,0,13.0,0.13829787234042556,
31,Uzbekistan,172.0,2.0,7.0,163.0,2020-03-31,3,23.0,0.15436241610738266,
32,Armenia,571.0,4.0,31.0,536.0,2020-04-01,13,39.0,0.07330827067669166,43.714285714285715
33,Azerbaijan,359.0,5.0,26.0,328.0,2020-04-01,6,61.0,0.2046979865771812,38.0
34,Georgia,117.0,0.0,23.0,94.0,2020-04-01,2,7.0,0.06363636363636371,
35,Kazakhstan,380.0,3.0,26.0,351.0,2020-04-01,6,37.0,0.10787172011661816,42.714285714285715
36,Kyrgyzstan,111.0,0.0,3.0,108.0,2020-04-01,1,4.0,0.03738317757009346,
37,Uzbekistan,181.0,2.0,12.0,167.0,2020-04-01,4,9.0,0.05232558139534893,
38,Armenia,663.0,7.0,33.0,623.0,2020-04-02,14,92.0,0.16112084063047294,53.285714285714285
39,Azerbaijan,400.0,5.0,26.0,369.0,2020-04-02,7,41.0,0.11420612813370479,39.714285714285715
40,Georgia,134.0,0.0,26.0,108.0,2020-04-02,3,17.0,0.14529914529914523,
41,Kazakhstan,435.0,3.0,27.0,405.0,2020-04-02,7,55.0,0.14473684210526305,46.285714285714285
42,Kyrgyzstan,116.0,0.0,5.0,111.0,2020-04-02,2,5.0,0.04504504504504503,
43,Uzbekistan,205.0,2.0,25.0,178.0,2020-04-02,5,24.0,0.13259668508287303,
44,Armenia,736.0,7.0,43.0,686.0,2020-04-03,15,73.0,0.11010558069381604,58.142857142857146
45,Azerbaijan,443.0,5.0,32.0,406.0,2020-04-03,8,43.0,0.10749999999999993,39.714285714285715
46,Georgia,155.0,0.0,28.0,127.0,2020-04-03,4,21.0,0.15671641791044766,
47,Kazakhstan,464.0,6.0,29.0,429.0,2020-04-03,8,29.0,0.06666666666666665,44.857142857142854
48,Kyrgyzstan,130.0,1.0,6.0,123.0,2020-04-03,3,14.0,0.1206896551724137,
49,Uzbekistan,227.0,2.0,25.0,200.0,2020-04-03,6,22.0,0.1073170731707318,19.857142857142858
50,Armenia,770.0,7.0,43.0,720.0,2020-04-04,16,34.0,0.04619565217391308,51.857142857142854
51,Azerbaijan,521.0,5.0,32.0,484.0,2020-04-04,9,78.0,0.17607223476297973,48.42857142857143
52,Georgia,162.0,1.0,36.0,125.0,2020-04-04,5,7.0,0.04516129032258065,
53,Kazakhstan,531.0,5.0,36.0,490.0,2020-04-04,9,67.0,0.1443965517241379,43.285714285714285
54,Kyrgyzstan,144.0,1.0,9.0,134.0,2020-04-04,4,14.0,0.10769230769230775,
55,Uzbekistan,266.0,2.0,25.0,239.0,2020-04-04,7,39.0,0.17180616740088106,23.142857142857142
56,Armenia,822.0,7.0,57.0,758.0,2020-04-05,17,52.0,0.06753246753246755,56.857142857142854
57,Azerbaijan,584.0,7.0,32.0,545.0,2020-04-05,10,63.0,0.12092130518234168,53.57142857142857
58,Georgia,174.0,2.0,36.0,136.0,2020-04-05,6,12.0,0.07407407407407418,11.857142857142858
59,Kazakhstan,584.0,6.0,42.0,536.0,2020-04-05,10,53.0,0.09981167608286245,42.857142857142854
60,Kyrgyzstan,147.0,1.0,9.0,137.0,2020-04-05,5,3.0,0.02083333333333326,
61,Uzbekistan,342.0,2.0,30.0,310.0,2020-04-05,8,76.0,0.2857142857142858,28.285714285714285
62,Armenia,833.0,8.0,62.0,763.0,2020-04-06,18,11.0,0.01338199513381988,50.142857142857146
63,Azerbaijan,641.0,7.0,44.0,590.0,2020-04-06,11,57.0,0.09760273972602729,52.57142857142857
64,Georgia,188.0,2.0,39.0,147.0,2020-04-06,7,14.0,0.08045977011494254,12.142857142857142
65,Kazakhstan,662.0,6.0,46.0,610.0,2020-04-06,11,78.0,0.13356164383561642,51.42857142857143
66,Kyrgyzstan,216.0,4.0,33.0,179.0,2020-04-06,6,69.0,0.4693877551020409,17.428571428571427
67,Uzbekistan,457.0,2.0,30.0,425.0,2020-04-06,9,115.0,0.3362573099415205,44.0
68,Armenia,853.0,8.0,87.0,758.0,2020-04-07,19,20.0,0.02400960384153672,45.857142857142854
69,Azerbaijan,717.0,8.0,44.0,665.0,2020-04-07,12,76.0,0.11856474258970362,59.857142857142854
70,Georgia,196.0,3.0,46.0,147.0,2020-04-07,8,8.0,0.042553191489361764,12.285714285714286
71,Kazakhstan,697.0,6.0,51.0,640.0,2020-04-07,12,35.0,0.052870090634441036,50.57142857142857
72,Kyrgyzstan,228.0,4.0,33.0,191.0,2020-04-07,7,12.0,0.05555555555555558,17.285714285714285
73,Uzbekistan,520.0,2.0,30.0,488.0,2020-04-07,10,63.0,0.1378555798687089,49.714285714285715
74,Armenia,881.0,9.0,114.0,758.0,2020-04-08,20,28.0,0.03282532239155911,44.285714285714285
75,Azerbaijan,822.0,8.0,63.0,751.0,2020-04-08,13,105.0,0.14644351464435146,66.14285714285714
76,Georgia,211.0,3.0,50.0,158.0,2020-04-08,9,15.0,0.07653061224489788,13.428571428571429
77,Kazakhstan,727.0,7.0,54.0,666.0,2020-04-08,13,30.0,0.043041606886657036,49.57142857142857
78,Kyrgyzstan,270.0,4.0,33.0,233.0,2020-04-08,8,42.0,0.18421052631578938,22.714285714285715
79,Uzbekistan,545.0,3.0,30.0,512.0,2020-04-08,11,25.0,0.04807692307692313,52.0
80,Armenia,921.0,10.0,138.0,773.0,2020-04-09,21,40.0,0.04540295119182747,36.857142857142854
81,Azerbaijan,926.0,9.0,101.0,816.0,2020-04-09,14,104.0,0.12652068126520688,75.14285714285714
82,Georgia,218.0,3.0,51.0,164.0,2020-04-09,10,7.0,0.033175355450236976,12.0
83,Kazakhstan,781.0,8.0,60.0,713.0,2020-04-09,14,54.0,0.07427785419532329,49.42857142857143
84,Kyrgyzstan,280.0,4.0,35.0,241.0,2020-04-09,9,10.0,0.03703703703703698,23.428571428571427
85,Uzbekistan,582.0,3.0,38.0,541.0,2020-04-09,12,37.0,0.06788990825688068,53.857142857142854
86,Armenia,937.0,12.0,149.0,776.0,2020-04-10,22,16.0,0.017372421281216077,28.714285714285715
87,Azerbaijan,991.0,10.0,159.0,822.0,2020-04-10,15,65.0,0.07019438444924408,78.28571428571429
88,Georgia,234.0,3.0,54.0,177.0,2020-04-10,11,16.0,0.07339449541284404,11.285714285714286
89,Kazakhstan,812.0,10.0,64.0,738.0,2020-04-10,15,31.0,0.03969270166453276,49.714285714285715
90,Kyrgyzstan,298.0,5.0,35.0,258.0,2020-04-10,10,18.0,0.06428571428571428,24.0
91,Uzbekistan,624.0,3.0,42.0,579.0,2020-04-10,13,42.0,0.07216494845360821,56.714285714285715
92,Armenia,967.0,13.0,173.0,781.0,2020-04-11,23,30.0,0.03201707577374591,28.142857142857142
93,Azerbaijan,1058.0,11.0,200.0,847.0,2020-04-11,16,67.0,0.06760847628657918,76.71428571428571
94,Georgia,242.0,3.0,60.0,179.0,2020-04-11,12,8.0,0.03418803418803429,11.428571428571429
95,Kazakhstan,865.0,10.0,81.0,774.0,2020-04-11,16,53.0,0.06527093596059119,47.714285714285715
96,Kyrgyzstan,339.0,5.0,44.0,290.0,2020-04-11,11,41.0,0.13758389261744974,27.857142857142858
97,Uzbekistan,767.0,4.0,42.0,721.0,2020-04-11,14,143.0,0.22916666666666674,71.57142857142857
98,Armenia,1013.0,13.0,197.0,803.0,2020-04-12,24,46.0,0.04756980351602902,27.285714285714285
99,Azerbaijan,1098.0,11.0,250.0,837.0,2020-04-12,17,40.0,0.037807183364839236,73.42857142857143
100,Georgia,257.0,3.0,67.0,187.0,2020-04-12,13,15.0,0.06198347107438007,11.857142857142858
101,Kazakhstan,951.0,10.0,99.0,842.0,2020-04-12,17,86.0,0.09942196531791914,52.42857142857143
102,Kyrgyzstan,377.0,5.0,54.0,318.0,2020-04-12,12,38.0,0.11209439528023601,32.857142857142854
103,Uzbekistan,865.0,4.0,66.0,795.0,2020-04-12,15,98.0,0.1277705345501956,74.71428571428571
104,Armenia,1039.0,14.0,211.0,814.0,2020-04-13,25,26.0,0.02566633761105619,29.428571428571427
105,Azerbaijan,1148.0,12.0,289.0,847.0,2020-04-13,18,50.0,0.04553734061930781,72.42857142857143
106,Georgia,272.0,3.0,68.0,201.0,2020-04-13,14,15.0,0.05836575875486383,12.0
107,Kazakhstan,1091.0,12.0,138.0,941.0,2020-04-13,18,140.0,0.1472134595162986,61.285714285714285
108,Kyrgyzstan,419.0,5.0,67.0,347.0,2020-04-13,13,42.0,0.1114058355437666,29.0
109,Uzbekistan,998.0,4.0,85.0,909.0,2020-04-13,16,133.0,0.153757225433526,77.28571428571429
110,Armenia,1067.0,16.0,265.0,786.0,2020-04-14,26,28.0,0.026948989412896918,30.571428571428573
111,Azerbaijan,1197.0,13.0,351.0,833.0,2020-04-14,19,49.0,0.04268292682926833,68.57142857142857
112,Georgia,300.0,3.0,69.0,228.0,2020-04-14,15,28.0,0.10294117647058831,14.857142857142858
113,Kazakhstan,1232.0,14.0,203.0,1015.0,2020-04-14,19,141.0,0.12923923006416138,76.42857142857143
114,Kyrgyzstan,430.0,5.0,71.0,354.0,2020-04-14,14,11.0,0.026252983293556076,28.857142857142858
115,Uzbekistan,1165.0,4.0,99.0,1062.0,2020-04-14,17,167.0,0.16733466933867724,92.14285714285714
116,Armenia,1111.0,17.0,297.0,797.0,2020-04-15,27,44.0,0.04123711340206193,32.857142857142854
117,Azerbaijan,1253.0,13.0,404.0,836.0,2020-04-15,20,56.0,0.04678362573099415,61.57142857142857
118,Georgia,306.0,3.0,71.0,232.0,2020-04-15,16,6.0,0.020000000000000018,13.571428571428571
119,Kazakhstan,1295.0,16.0,240.0,1039.0,2020-04-15,20,63.0,0.051136363636363535,81.14285714285714
120,Kyrgyzstan,449.0,5.0,78.0,366.0,2020-04-15,15,19.0,0.04418604651162794,25.571428571428573
121,Uzbekistan,1302.0,4.0,107.0,1191.0,2020-04-15,18,137.0,0.11759656652360517,108.14285714285714
122,Armenia,1159.0,18.0,358.0,783.0,2020-04-16,28,48.0,0.04320432043204314,34.0
123,Azerbaijan,1283.0,15.0,460.0,808.0,2020-04-16,21,30.0,0.023942537909018347,51.0
124,Georgia,348.0,3.0,76.0,269.0,2020-04-16,17,42.0,0.13725490196078427,18.571428571428573
125,Kazakhstan,1402.0,17.0,277.0,1108.0,2020-04-16,21,107.0,0.08262548262548264,88.71428571428571
126,Kyrgyzstan,466.0,5.0,91.0,370.0,2020-04-16,16,17.0,0.03786191536748329,26.571428571428573
127,Uzbekistan,1349.0,4.0,129.0,1216.0,2020-04-16,19,47.0,0.036098310291858615,109.57142857142857
128,Armenia,1201.0,19.0,402.0,780.0,2020-04-17,29,42.0,0.036238136324417525,37.714285714285715
129,Azerbaijan,1340.0,15.0,528.0,797.0,2020-04-17,22,57.0,0.044427123928292955,49.857142857142854
130,Georgia,370.0,3.0,79.0,288.0,2020-04-17,18,22.0,0.06321839080459779,19.428571428571427
131,Kazakhstan,1546.0,17.0,347.0,1182.0,2020-04-17,22,144.0,0.10271041369472189,104.85714285714286
132,Kyrgyzstan,489.0,5.0,114.0,370.0,2020-04-17,17,23.0,0.04935622317596566,27.285714285714285
133,Uzbekistan,1405.0,4.0,156.0,1245.0,2020-04-17,20,56.0,0.04151223128243142,111.57142857142857
134,Armenia,1248.0,20.0,523.0,705.0,2020-04-18,30,47.0,0.039134054954204744,40.142857142857146
135,Azerbaijan,1373.0,18.0,590.0,765.0,2020-04-18,23,33.0,0.02462686567164174,45.0
136,Georgia,388.0,4.0,86.0,298.0,2020-04-18,19,18.0,0.048648648648648596,20.857142857142858
137,Kazakhstan,1615.0,17.0,377.0,1221.0,2020-04-18,23,69.0,0.04463130659767134,107.14285714285714
138,Kyrgyzstan,506.0,5.0,130.0,371.0,2020-04-18,18,17.0,0.03476482617586907,23.857142857142858
139,Uzbekistan,1490.0,5.0,194.0,1291.0,2020-04-18,21,85.0,0.06049822064056931,103.28571428571429
140,Armenia,1291.0,20.0,545.0,726.0,2020-04-19,31,43.0,0.034455128205128194,39.714285714285715
141,Azerbaijan,1398.0,19.0,712.0,667.0,2020-04-19,24,25.0,0.018208302986161717,42.857142857142854
142,Georgia,394.0,4.0,93.0,297.0,2020-04-19,20,6.0,0.015463917525773141,19.571428571428573
143,Kazakhstan,1676.0,17.0,400.0,1259.0,2020-04-19,24,61.0,0.037770897832817285,103.57142857142857
144,Kyrgyzstan,554.0,5.0,133.0,416.0,2020-04-19,19,48.0,0.09486166007905128,25.285714285714285
145,Uzbekistan,1565.0,5.0,225.0,1335.0,2020-04-19,22,75.0,0.05033557046979875,100.0
146,Armenia,1339.0,22.0,580.0,737.0,2020-04-20,32,48.0,0.03718048024786991,42.857142857142854
147,Azerbaijan,1436.0,19.0,791.0,626.0,2020-04-20,25,38.0,0.027181688125894166,41.142857142857146
148,Georgia,402.0,4.0,95.0,303.0,2020-04-20,21,8.0,0.020304568527918843,18.571428571428573
149,Kazakhstan,1852.0,19.0,447.0,1386.0,2020-04-20,25,176.0,0.1050119331742243,108.71428571428571
150,Kyrgyzstan,568.0,7.0,201.0,360.0,2020-04-20,20,14.0,0.025270758122743597,21.285714285714285
151,Uzbekistan,1627.0,5.0,261.0,1361.0,2020-04-20,23,62.0,0.03961661341853029,89.85714285714286
152,Armenia,1401.0,24.0,609.0,768.0,2020-04-21,33,62.0,0.04630321135175497,47.714285714285715
153,Azerbaijan,1480.0,20.0,865.0,595.0,2020-04-21,26,44.0,0.03064066852367686,40.42857142857143
154,Georgia,408.0,4.0,97.0,307.0,2020-04-21,22,6.0,0.014925373134328401,15.428571428571429
155,Kazakhstan,1995.0,19.0,489.0,1487.0,2020-04-21,26,143.0,0.07721382289416856,109.0
156,Kyrgyzstan,590.0,7.0,216.0,367.0,2020-04-21,21,22.0,0.03873239436619724,22.857142857142858
157,Uzbekistan,1678.0,6.0,357.0,1315.0,2020-04-21,24,51.0,0.031346035648432746,73.28571428571429
158,Armenia,1473.0,24.0,633.0,816.0,2020-04-22,34,72.0,0.051391862955032064,51.714285714285715
159,Azerbaijan,1518.0,20.0,907.0,591.0,2020-04-22,27,38.0,0.025675675675675746,37.857142857142854
160,Georgia,416.0,5.0,107.0,304.0,2020-04-22,23,8.0,0.019607843137254832,15.714285714285714
161,Kazakhstan,2135.0,19.0,515.0,1601.0,2020-04-22,27,140.0,0.07017543859649122,120.0
162,Kyrgyzstan,612.0,7.0,254.0,351.0,2020-04-22,22,22.0,0.03728813559322042,23.285714285714285
163,Uzbekistan,1716.0,7.0,450.0,1259.0,2020-04-22,25,38.0,0.022646007151370773,59.142857142857146
164,Armenia,1523.0,24.0,659.0,840.0,2020-04-23,35,50.0,0.0339443312966734,52.0
165,Azerbaijan,1548.0,20.0,948.0,580.0,2020-04-23,28,30.0,0.01976284584980248,37.857142857142854
166,Georgia,425.0,5.0,111.0,309.0,2020-04-23,24,9.0,0.02163461538461542,11.0
167,Kazakhstan,2289.0,20.0,560.0,1709.0,2020-04-23,28,154.0,0.0721311475409836,126.71428571428571
168,Kyrgyzstan,631.0,8.0,302.0,321.0,2020-04-23,23,19.0,0.031045751633986818,23.571428571428573
169,Uzbekistan,1758.0,7.0,561.0,1190.0,2020-04-23,26,42.0,0.02447552447552437,58.42857142857143
170,Armenia,1596.0,27.0,728.0,841.0,2020-04-24,36,73.0,0.04793171372291538,56.42857142857143
171,Azerbaijan,1592.0,21.0,1013.0,558.0,2020-04-24,29,44.0,0.028423772609819098,36.0
172,Georgia,444.0,5.0,132.0,307.0,2020-04-24,25,19.0,0.04470588235294115,10.571428571428571
173,Kazakhstan,2482.0,25.0,604.0,1853.0,2020-04-24,29,193.0,0.08431629532546969,133.71428571428572
174,Kyrgyzstan,665.0,8.0,345.0,312.0,2020-04-24,24,34.0,0.0538827258320127,25.142857142857142
175,Uzbekistan,1804.0,8.0,621.0,1175.0,2020-04-24,27,46.0,0.026166097838452806,57.0
176,Armenia,1677.0,28.0,803.0,846.0,2020-04-25,37,81.0,0.050751879699248104,61.285714285714285
177,Azerbaijan,1617.0,21.0,1080.0,516.0,2020-04-25,30,25.0,0.01570351758793964,34.857142857142854
178,Georgia,456.0,5.0,139.0,312.0,2020-04-25,26,12.0,0.027027027027026973,9.714285714285714
179,Kazakhstan,2601.0,25.0,646.0,1930.0,2020-04-25,30,119.0,0.047945205479452024,140.85714285714286
180,Kyrgyzstan,665.0,8.0,345.0,312.0,2020-04-25,25,0.0,0.0,22.714285714285715
181,Uzbekistan,1862.0,8.0,707.0,1147.0,2020-04-25,28,58.0,0.03215077605321515,53.142857142857146
182,Armenia,1746.0,28.0,833.0,885.0,2020-04-26,38,69.0,0.041144901610017826,65.0
183,Azerbaijan,1645.0,21.0,1139.0,485.0,2020-04-26,31,28.0,0.017316017316017396,35.285714285714285
184,Georgia,486.0,6.0,149.0,331.0,2020-04-26,27,30.0,0.06578947368421062,13.142857142857142
185,Kazakhstan,2717.0,25.0,682.0,2010.0,2020-04-26,31,116.0,0.044598231449442416,148.71428571428572
186,Kyrgyzstan,682.0,8.0,370.0,304.0,2020-04-26,26,17.0,0.02556390977443601,18.285714285714285
187,Uzbekistan,1869.0,8.0,789.0,1072.0,2020-04-26,29,7.0,0.003759398496240518,43.42857142857143
188,Armenia,1808.0,29.0,848.0,931.0,2020-04-27,39,62.0,0.03550973654066447,67.0
189,Azerbaijan,1678.0,22.0,1162.0,494.0,2020-04-27,32,33.0,0.02006079027355634,34.57142857142857
190,Georgia,497.0,6.0,156.0,335.0,2020-04-27,28,11.0,0.02263374485596703,13.571428571428571
191,Kazakhstan,2835.0,25.0,720.0,2090.0,2020-04-27,32,118.0,0.04343025395656985,140.42857142857142
192,Kyrgyzstan,695.0,8.0,395.0,292.0,2020-04-27,27,13.0,0.019061583577712593,18.142857142857142
193,Uzbekistan,1904.0,8.0,892.0,1004.0,2020-04-27,30,35.0,0.01872659176029967,39.57142857142857
194,Armenia,1867.0,30.0,866.0,971.0,2020-04-28,40,59.0,0.03263274336283195,66.57142857142857
195,Azerbaijan,1717.0,22.0,1221.0,474.0,2020-04-28,33,39.0,0.023241954707985624,33.857142857142854
196,Georgia,511.0,6.0,168.0,337.0,2020-04-28,29,14.0,0.028169014084507005,14.714285714285714
197,Kazakhstan,3027.0,25.0,774.0,2228.0,2020-04-28,33,192.0,0.06772486772486763,147.42857142857142
198,Kyrgyzstan,708.0,8.0,416.0,284.0,2020-04-28,28,13.0,0.018705035971223083,16.857142857142858
199,Uzbekistan,1939.0,8.0,992.0,939.0,2020-04-28,31,35.0,0.018382352941176405,37.285714285714285
200,Armenia,1932.0,30.0,900.0,1002.0,2020-04-29,41,65.0,0.034815211569362514,65.57142857142857
201,Azerbaijan,1766.0,23.0,1267.0,476.0,2020-04-29,34,49.0,0.02853814793244025,35.42857142857143
202,Georgia,517.0,6.0,178.0,333.0,2020-04-29,30,6.0,0.011741682974559797,14.428571428571429
203,Kazakhstan,3138.0,25.0,819.0,2294.0,2020-04-29,34,111.0,0.03666997026759167,143.28571428571428
204,Kyrgyzstan,729.0,8.0,437.0,284.0,2020-04-29,29,21.0,0.029661016949152463,16.714285714285715
